collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
ual-bib	bib	0	0	0	63	54	117	7	9	16	0	0	0	Aug-04
uky-bib	bib	0	0	0	0	0	0	6	9	15	0	0	0	Aug-04
utcat-bib	bib	0	0	0	77	67	144	5	11	16	0	0	0	Aug-04
emn	text	3	0	3	0	0	0	2	0	2	0	0	0	Aug-04
etd	text	148	1745	1893	0	0	0	89	1104	1193	0	0	0	Aug-04
ualr	image	5	0	5	0	0	0	1	0	1	0	0	0	Aug-04
ldr	text	0	1	1	0	0	0	0	1	1	0	0	0	Aug-04
ualr-bib	bib	0	0	0	1	0	1	1	0	1	0	0	0	Aug-04
jei	text	2	750	752	0	1	1	2	355	357	1	156	157	Aug-04
shld	image	3	457	460	1	2	3	2	277	279	0	13	13	Aug-05
gar	image	6	728	734	0	57	57	1	250	251	2	15	17	Aug-05
utcat	text	5007	20763	25770	0	0	0	3239	14027	17266	3478	13542	17020	Aug-05
tdh	text	4	2015	2019	10	1240	1250	11	1451	1462	10	151	161	Aug-05
etd-bib	bib	0	0	0	81	322	403	86	255	341	52	105	157	Aug-05
rth	image	15	1641	1656	15	117	132	20	1081	1101	1	11	12	Aug-05
egy	image	3	185	188	2	75	77	2	147	149	0	0	0	Aug-05
mcc	image	44	642	686	62	368	430	11	412	423	0	2	2	Aug-05
uky	image	44	542	586	46	334	380	7	303	310	0	0	0	Aug-05
ual	image	45	914	959	0	2	2	12	505	517	0	0	0	Aug-05
fa-bib	bib	0	0	0	2	4	6	1	6	7	0	0	0	Aug-05
coc	image	0	0	0	0	0	0	0	7	7	0	0	0	Aug-05
utcat-bib	bib	0	0	0	5	10	15	2	10	12	0	0	0	Aug-05
fa	text	8	17	25	0	0	0	1	7	8	0	0	0	Aug-05
mcc-bib	bib	0	0	0	0	0	0	1	7	8	0	0	0	Aug-05
gar-bib	bib	0	0	0	1	12	13	2	6	8	0	0	0	Aug-05
egy-bib	bib	0	0	0	6	12	18	1	5	6	0	0	0	Aug-05
rth-bib	bib	0	0	0	1	0	1	2	8	10	0	0	0	Aug-05
ual-bib	bib	0	0	0	8	36	44	1	8	9	0	0	0	Aug-05
